N,Bal,Brick,Dist,District,Floor,Kitsp,Link,Livesp,Metrdist,NFloor,New,Price,Tel,Totsp,Walk,rooms
132,1,0,3.9824719935024357,0,12,10.5,149330276,20.0,3.0,22,0,8900000,1,40.0,0,1.0
133,0,,4.403336953465084,0,4,,149031385,49.9,6.0,,1,8943624,,49.9,1,1.0
134,0,0,3.8740196065399037,0,1,9.2,150975782,24.2,5.0,5,0,8950000,,46.4,1,2.0
135,0,,4.403336953465084,0,4,,149031383,38.9,6.0,,1,8949981,,38.9,1,1.0
136,0,,2.627748070573016,0,4,7.0,150515133,17.0,4.0,12,0,9000000,1,33.0,1,1.0
137,0,,4.327845444089946,0,1,10.0,150809777,20.0,7.0,12,0,9000000,1,40.0,1,1.0
138,1,0,4.240697486007596,0,7,7.2,140323353,31.0,7.0,12,0,9000000,1,48.0,1,2.0
139,0,1,3.487775169638794,0,1,10.1,147215248,16.0,9.0,16,0,9000000,1,36.7,1,1.0
140,0,1,3.487775169638794,0,1,10.1,147059590,16.0,5.0,16,0,9000000,1,36.7,1,1.0
141,1,1,3.5608587811067376,0,2,18.0,151025686,70.0,7.0,11,0,121099160,1,105.0,1,2.0
142,0,1,2.716141776009229,0,3,,147823957,,7.0,7,0,102615604,1,179.0,1,4.0
143,0,1,1.672934245044282,0,5,,150453732,165.0,10.0,7,0,318682000,1,200.0,0,5.0
144,0,0,3.2797508468028975,0,4,9.0,149922809,34.0,3.0,6,0,9000000,,54.0,1,2.0
145,1,,2.997193262238148,0,3,5.0,148934694,18.0,11.0,9,0,9000000,,31.0,1,1.0
146,0,0,4.190448616720227,0,1,7.0,149657988,40.0,8.0,8,0,9000000,1,52.0,1,2.0
147,0,,4.403336953465084,0,1,,149031215,41.1,6.0,,1,9027459,,41.1,1,1.0
148,0,,4.403336953465084,0,4,,149031378,53.6,6.0,,1,9069305,,53.6,1,1.0
149,1,0,3.1622489603910613,0,12,10.0,148894545,19.1,9.0,16,0,9100000,1,38.0,1,1.0
150,0,1,3.8287773297348795,0,7,,50960863,,5.0,39,1,9106650,,44.1,1,1.0
151,0,1,4.425296780491386,0,3,,150118029,53.3,5.0,6,0,9117548,0,53.3,1,2.0
152,0,,4.403336953465084,0,3,,149031357,53.3,6.0,,1,9117548,,53.3,1,1.0
153,1,0,2.7415973486935714,0,16,9.7,26243062,19.0,5.0,16,0,9199000,1,34.2,1,1.0
154,0,1,3.1272227159610795,0,1,6.0,148224543,29.0,6.0,5,0,9200000,1,44.0,1,2.0
155,1,0,4.466011271159517,0,9,8.0,147901521,19.0,11.0,17,0,9200000,1,38.0,1,1.0
156,1,1,6.271819020214224,0,8,5.0,148533758,27.0,7.0,9,0,9300000,1,42.0,1,2.0
157,1,,4.510539451079687,0,6,6.0,150297774,29.3,15.0,12,0,9300000,1,45.0,1,2.0
158,0,1,4.450689207620436,0,2,,149920195,42.6,5.0,6,0,9356608,0,42.6,1,1.0
159,0,0,4.6867491251084585,0,1,8.0,150329842,22.0,2.0,9,0,9390000,1,37.0,1,2.0
160,0,,4.403336953465084,0,4,,149031390,41.2,6.0,,1,9395149,,41.2,1,1.0
161,1,0,4.466011271159517,0,6,7.5,149727428,18.0,9.0,17,0,9400000,1,38.4,1,1.0
162,0,1,3.8287773297348795,0,7,,50961303,,5.0,39,1,9432900,,44.6,1,1.0
163,1,1,3.0937453672522555,0,3,6.0,150639725,29.0,9.0,5,0,9500000,1,43.0,1,2.0
164,1,0,3.252173346651729,0,5,9.6,144133232,20.0,9.0,12,0,9500000,1,35.2,1,1.0
165,0,1,2.4789580817957644,0,1,6.0,149842937,18.0,4.0,5,0,9500000,0,30.0,1,1.0
166,0,0,3.8745904027457416,0,6,10.0,149951233,20.0,5.0,18,0,9500000,0,38.5,1,1.0
167,1,0,3.980888455423731,0,10,7.0,149414837,27.0,10.0,12,0,9500000,1,45.0,1,2.0
168,1,1,3.589155546030249,0,4,6.8,149146537,29.0,15.0,5,0,9500000,1,45.0,1,2.0
169,0,1,2.006696867343154,0,2,12.0,150601865,94.0,10.0,7,0,55000000,1,145.0,1,5.0
170,0,1,2.7816901392959457,0,11,,150446880,1.0,8.0,12,0,49900000,1,113.0,1,5.0
171,0,1,0.8018363790719991,0,5,,149670629,88.0,3.0,5,0,140220080,,110.9,1,2.0
172,1,1,3.201879948502736,0,5,9.0,150612489,21.0,5.0,13,0,9500000,0,40.0,1,1.0
173,1,0,4.327845444089946,0,11,7.5,150468272,22.2,5.0,12,0,9500000,1,39.5,1,2.0
174,0,1,3.2797508468028975,0,2,,149419090,27.0,5.0,6,0,9500000,1,39.0,1,2.0
175,1,1,5.913845803944095,0,1,7.0,150638572,30.0,11.0,14,0,9700000,,50.0,1,2.0
176,1,0,3.4669256530067094,0,3,6.0,136725466,32.0,11.0,17,0,9700000,1,38.0,1,2.0
177,1,0,3.8567140599136547,0,2,7.4,139550369,29.0,7.0,12,0,9700000,1,47.4,1,2.0
178,0,1,3.1657209804889628,0,1,5.5,151041519,34.0,7.0,5,0,9700000,1,43.0,1,2.0
179,1,,3.252173346651729,0,3,9.0,150751616,20.0,9.0,12,0,9700000,,35.0,1,1.0
180,1,0,2.7415973486935714,0,12,10.0,147944625,19.0,8.0,16,0,9750000,,37.9,1,1.0
181,0,1,4.450689207620436,0,5,,149920200,46.2,5.0,6,0,9768439,0,46.2,1,2.0
182,1,1,6.392994904183306,0,6,5.5,149323017,42.0,8.0,9,0,9800000,1,58.0,1,3.0
183,1,1,4.403336953465084,0,3,10.0,149490088,45.0,5.0,5,0,9800000,0,60.0,1,1.0
184,1,0,2.627748070573016,0,10,7.0,149130783,35.0,4.0,12,0,9800000,1,46.0,1,2.0
185,0,,4.403336953465084,0,1,,149031213,45.9,6.0,,1,9865843,,45.9,1,1.0
186,0,1,4.425296780491386,0,3,,150118460,59.1,5.0,6,0,9886025,0,59.1,1,3.0
187,0,,4.403336953465084,0,3,,149031371,59.1,6.0,,1,9886025,,59.1,1,1.0
188,1,0,4.240697486007596,0,7,8.0,150211678,32.0,12.0,12,0,9900000,0,49.0,1,2.0
189,1,1,2.7146583056892397,0,10,9.1,149781961,19.5,3.0,14,0,9900000,,38.0,1,1.0
190,0,0,2.8685266269616183,0,7,8.0,150911073,15.0,7.0,8,0,9900000,,30.0,1,1.0
191,1,1,2.5114119998383617,0,1,7.0,148916134,32.0,15.0,9,0,9900000,1,44.6,1,2.0
192,1,1,3.3653083013300353,0,4,5.5,147978925,28.6,10.0,5,0,9900000,1,42.6,1,2.0
193,1,1,3.770445664469746,0,7,6.5,151041941,28.3,6.0,8,0,9900000,1,43.0,1,2.0
194,1,1,4.508878386728716,0,3,7.8,150738741,30.0,8.0,8,0,9900000,1,46.0,1,2.0
195,1,0,5.933942392782044,0,13,7.4,150940127,19.0,15.0,17,0,9900000,0,38.0,1,1.0
196,0,1,4.450689207620436,0,1,,150235286,46.2,5.0,6,0,9930382,0,46.2,1,2.0
197,0,1,3.8279589798919678,0,9,15.0,150058421,32.0,6.0,11,0,38000000,1,68.0,1,2.0
198,0,1,1.3533571060738079,0,2,7.0,49362529,25.0,2.0,10,0,16500000,1,41.0,1,2.0
199,0,1,3.982835898759645,0,4,18.0,51320494,89.0,8.0,18,0,64390950,,158.9,1,3.0
200,0,,4.403336953465084,0,1,,149031221,46.2,6.0,,1,9930382,,46.2,1,1.0
201,0,1,2.840516035591821,0,1,5.0,148653881,27.0,10.0,8,0,9950000,,40.0,1,2.0
202,1,0,2.360447755237209,0,5,10.0,150871176,20.0,12.0,8,0,9990000,0,35.0,1,1.0
203,0,1,2.5017199171056292,0,3,4.0,150638655,24.0,4.0,5,0,10000000,,33.0,1,2.0
204,1,0,5.813459452185008,0,9,10.0,17264878,20.0,10.0,12,0,9999999,1,35.1,1,1.0
205,1,0,3.499298927934254,0,8,8.0,148884599,23.0,4.0,9,0,10000000,,38.0,1,2.0
206,0,0,3.45030165011418,0,2,6.0,151044088,23.0,5.0,9,0,10000000,1,38.0,1,2.0
207,1,1,3.650964536392819,0,9,9.0,150827072,18.0,11.0,9,0,10000000,,33.9,1,1.0
208,0,1,5.136413995676519,0,1,5.4,33372016,38.0,7.0,9,0,10000000,1,54.5,0,3.0
209,1,0,4.910957741287828,0,3,6.0,150541005,28.0,12.0,12,0,10000000,1,40.0,1,2.0
210,0,1,2.8832799821823443,0,1,6.1,149007233,25.1,11.0,8,0,10000000,,41.0,1,2.0
211,1,0,4.592022114947178,0,7,9.0,150973445,32.0,10.0,14,0,10000000,,48.0,1,2.0
212,1,1,4.62255844725366,0,3,8.0,150996254,19.0,15.0,12,0,10000000,0,35.0,0,1.0
213,1,1,3.4501246655590383,0,9,5.1,150853943,28.2,3.0,9,0,10000000,1,41.5,1,2.0
214,1,,5.136413995676519,0,5,6.0,151026227,28.0,9.0,9,0,10000000,0,43.0,1,2.0
215,1,0,2.971267211782484,0,8,11.0,149213366,28.0,5.0,16,0,10029600,,50.0,1,2.0
216,1,1,2.5114119998383617,0,1,7.0,148915854,32.0,11.0,9,0,10100000,1,44.6,1,2.0
217,1,1,2.5114119998383617,0,1,7.0,146785232,32.0,10.0,9,0,10100000,1,44.6,1,2.0
218,0,,4.103931151592689,0,7,10.0,149558180,31.0,,12,0,10100000,,52.0,,2.0
219,0,,3.7716868633386706,0,20,,150876128,48.4,7.0,44,0,10200000,,48.4,1,1.0
220,1,1,2.9948331951546447,0,6,10.0,150057539,18.0,5.0,9,0,10250000,0,37.0,1,1.0
221,0,1,3.2203923330637134,0,2,8.0,149409653,15.1,5.0,14,0,10290000,1,30.1,1,1.0
222,1,0,4.844232748134998,0,14,6.0,150736409,24.0,6.0,14,0,10300000,,39.0,1,2.0
223,1,0,4.121046216253689,0,4,7.0,51892024,26.0,9.0,12,0,10300000,1,39.0,0,2.0
224,1,0,2.971267211782484,0,13,11.0,149213363,28.0,5.0,16,0,10329300,,49.0,1,2.0
225,1,1,3.176300030886219,0,6,12.3,43529837,113.9,7.0,15,0,57990000,0,140.0,1,4.0
226,0,1,1.7660540255610775,0,2,,144380582,,11.0,7,0,110000000,1,187.0,1,5.0
227,0,1,2.023730570080224,0,3,9.0,150882335,34.0,9.0,7,1,35398539,,73.8,1,2.0
228,0,,4.403336953465084,0,2,,149031241,46.5,6.0,,1,10403243,,46.5,1,1.0
229,0,1,4.4446787023853735,0,16,,150689132,53.2,,19,1,10478000,,69.9,,3.0
230,0,,4.403336953465084,0,4,,149031287,46.0,6.0,,1,10485169,,46.0,1,1.0
231,1,0,2.627748070573016,0,6,7.0,149495692,28.0,4.0,12,0,10490000,1,46.0,1,2.0
232,0,0,4.036556388910997,0,1,9.0,151052804,35.0,11.0,12,0,10500000,,47.0,1,2.0
233,1,,3.786272573428765,0,3,6.0,149006725,28.0,10.0,5,0,10500000,1,40.0,1,2.0
234,1,0,3.7957742703043675,0,11,9.0,150658211,19.0,3.0,17,0,10500000,0,39.0,1,1.0
235,0,,5.696538491160376,0,3,9.0,150713577,47.0,9.0,5,0,10500000,1,65.0,1,3.0
236,0,0,2.0668943387676864,0,5,7.0,150781044,17.0,5.0,5,0,10500000,0,30.0,1,1.0
237,0,,4.592461584321245,0,2,10.0,150933448,19.0,2.0,5,0,10500000,1,35.5,1,1.0
238,1,,3.2492011793061972,0,6,7.5,149397410,23.5,8.0,9,0,10500000,,38.0,1,2.0
239,1,1,2.7815787030897807,0,1,9.0,150912522,17.0,10.0,9,0,10500000,1,37.0,1,1.0
240,1,0,6.291689500931505,0,7,8.0,150813313,32.0,14.0,17,0,10500000,0,55.0,1,2.0
241,0,,4.0088516969018455,0,2,7.0,149135752,27.1,20.0,8,0,10500000,1,48.3,1,2.0
242,1,,3.5001685207972413,0,4,6.0,150720845,27.0,3.0,9,0,10500000,,35.0,1,2.0
243,0,1,4.403336953465084,0,3,,151005980,35.0,6.0,8,1,10598345,,61.5,1,2.0
244,0,1,4.425296780491386,0,3,,150118459,61.5,5.0,6,0,10598345,0,61.5,1,2.0
245,0,1,4.403336953465084,0,3,,150833989,,9.0,6,1,10598345,,61.4,1,2.0
246,1,1,3.1272227159610795,0,2,6.0,149833251,29.0,3.0,5,0,10600000,,44.0,1,2.0
247,0,,4.403336953465084,0,4,,149031384,60.7,6.0,,1,10661503,,60.7,1,1.0
248,0,1,4.403336953465084,0,1,,151005586,30.0,6.0,5,1,10817568,,51.3,1,2.0
249,0,1,4.403336953465084,0,1,,151005358,25.0,6.0,5,1,10817568,,51.3,1,1.0
250,0,,4.403336953465084,0,1,,149031209,51.3,6.0,,1,10817568,,51.3,1,1.0
251,0,,4.403336953465084,0,4,,149031285,47.6,6.0,,1,10859151,,47.6,1,1.0
252,0,1,4.404181435103708,0,6,8.0,138125457,32.1,5.0,9,1,10900000,,39.2,1,1.0
253,0,1,2.9355600376547715,0,2,,48903041,,5.0,7,1,12149428,,38.6,1,1.0
254,1,1,1.5652047709954893,0,4,13.0,150725645,87.8,5.0,7,0,80000000,0,130.0,1,3.0
255,1,1,1.617393633188469,0,3,8.7,23063976,48.5,7.0,6,0,39000000,0,71.0,1,3.0
256,0,0,3.179045933320673,0,2,22.0,137145027,19.0,5.0,12,0,10900000,0,45.0,1,2.0
257,0,0,3.179045933320673,0,2,22.0,150780674,19.0,9.0,12,0,10900000,1,45.0,1,1.0
258,1,0,4.366586484827225,0,6,9.5,150807537,19.4,5.0,14,0,10900000,1,35.0,1,1.0
259,1,1,4.418773619073835,0,5,6.0,150521993,32.0,7.0,9,0,10900000,1,43.0,1,2.0
260,1,1,1.9275504981920342,0,3,6.0,150387502,19.0,10.0,10,0,10900000,1,34.0,1,1.0
261,1,0,3.7957742703043675,0,3,8.0,149021395,20.0,1.0,17,0,10900000,1,40.0,1,1.0
262,0,0,3.3447356474901433,0,3,9.0,148443997,36.0,7.0,7,0,10900000,1,56.0,1,2.0
263,1,,3.920181872118028,0,7,6.0,150541205,28.3,7.0,12,0,10900000,1,44.0,1,2.0
264,0,,4.04413142620392,0,2,,150885034,50.0,9.0,4,0,10950000,,67.5,1,2.0
265,0,1,4.450689207620436,0,1,,149920193,56.4,5.0,6,0,10958128,0,56.4,1,2.0
